producer,feature_key,label,current_kind,current_group,current_subgroup,current_id_value,proposed_role,proposed_group,proposed_subgroup,source_kind,method_feature_id,method_reference_informativeness,automatic_or_expert,notes
profile.py,nonliterary_ratio,Доля нелитературной лексики,счётчик,языковые,лексические,,AUX_METRIC,языковые,лексические,ENGINEERING,,,automatic,
profile.py,style_marker_count,Стилевые маркеры: <класс>,счётчик,языковые,стилистические,,AUX_METRIC,языковые,стилистические,ENGINEERING,,,automatic,
profile.py,emoji_count,Интернет-коммуникация: Эмодзи,счётчик,языковые,интернет-коммуникация,высокая при count >= 2,AUX_METRIC,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Частота сохранена; автоматическая экспертная ценность удалена.
profile.py,emoticon_count,Интернет-коммуникация: Эмотиконы,счётчик,языковые,интернет-коммуникация,высокая при count >= 2,AUX_METRIC,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Частота сохранена; автоматическая экспертная ценность удалена.
profile.py,hashtag_count,Интернет-коммуникация: Хэштеги,счётчик,языковые,интернет-коммуникация,высокая при count >= 2,AUX_METRIC,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Частота сохранена; автоматическая экспертная ценность удалена.
profile.py,caps_count,Интернет-коммуникация: Слова КАПСОМ,счётчик,языковые,интернет-коммуникация,высокая при count >= 2,AUX_METRIC,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Частота сохранена; автоматическая экспертная ценность удалена.
profile.py,slang_count,Интернет-коммуникация: Интернет-сленг,счётчик,языковые,интернет-коммуникация,высокая при count >= 2,AUX_METRIC,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Частота сохранена; автоматическая экспертная ценность удалена.
profile.py,abbreviation_count,Интернет-коммуникация: Аббревиатуры,счётчик,языковые,интернет-коммуникация,высокая при count >= 2,AUX_METRIC,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Частота сохранена; автоматическая экспертная ценность удалена.
profile.py,repeated_punctuation_count,Интернет-коммуникация: Повторная пунктуация,счётчик,языковые,пунктуационные,высокая при count >= 2,AUX_METRIC,языковые,пунктуационные,EXPERIMENTAL,,,automatic,Частота сохранена; автоматическая экспертная ценность удалена.
profile.py,pos_share,Доля POS: <часть речи>,счётчик,языковые,синтаксические,,AUX_METRIC,языковые,морфологические,ENGINEERING,,,automatic,Перенесено в морфологическую подгруппу.
profile.py,question_sentence_count,Вопросительные предложения,счётчик,языковые,синтаксические,,AUX_METRIC,языковые,синтаксические,ENGINEERING,,,automatic,
profile.py,exclamation_sentence_count,Восклицательные предложения,счётчик,языковые,пунктуационные,,AUX_METRIC,языковые,пунктуационные,ENGINEERING,,,automatic,
profile.py,ellipsis_sentence_count,Предложения с многоточием,счётчик,языковые,пунктуационные,,AUX_METRIC,языковые,пунктуационные,ENGINEERING,,,automatic,
profile.py,error_hit.орфографические,<тип ошибки>: <подтип>,кандидат_признак,языковые,орфографические,err.significance/severity,EVIDENCE,языковые,орфографические,ENGINEERING,,,automatic,"Rule id, fragment и detector reliability сохранены; severity не id value."
profile.py,error_hit.пунктуационные,<тип ошибки>: <подтип>,кандидат_признак,языковые,пунктуационные,err.significance/severity,EVIDENCE,языковые,пунктуационные,ENGINEERING,,,automatic,"Rule id, fragment и detector reliability сохранены; severity не id value."
profile.py,error_hit.грамматические,<тип ошибки>: <подтип>,кандидат_признак,языковые,грамматические,err.significance/severity,EVIDENCE,языковые,грамматические,ENGINEERING,,,automatic,"Rule id, fragment и detector reliability сохранены; severity не id value."
profile.py,error_hit.лексические,<тип ошибки>: <подтип>,кандидат_признак,языковые,лексические,err.significance/severity,EVIDENCE,языковые,лексические,ENGINEERING,,,automatic,"Rule id, fragment и detector reliability сохранены; severity не id value."
profile.py,error_hit.стилистические,<тип ошибки>: <подтип>,кандидат_признак,языковые,стилистические,err.significance/severity,EVIDENCE,языковые,стилистические,ENGINEERING,,,automatic,"Rule id, fragment и detector reliability сохранены; severity не id value."
profile.py,suppressed_error_hit,"<ошибка, подавленная фильтром>",кандидат_признак,языковые,<тип ошибки>,,EVIDENCE,языковые,<тип ошибки>,ENGINEERING,,,automatic,Сохраняется для воспроизводимости и скрывается фильтром UI.
profile.py,internet_slang_hit,Интернет-сленг,кандидат_признак,языковые,интернет-коммуникация,высокая при count >= 2,EVIDENCE,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Повторяемость влияет только на detection reliability.
profile.py,emoticon_hit,Эмотикон,кандидат_признак,языковые,интернет-коммуникация,высокая при count >= 2,EVIDENCE,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Повторяемость влияет только на detection reliability.
profile.py,emoji_hit,Эмодзи,кандидат_признак,языковые,интернет-коммуникация,высокая при count >= 2,EVIDENCE,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Повторяемость влияет только на detection reliability.
profile.py,repeated_punctuation_hit,Повторная пунктуация,кандидат_признак,языковые,интернет-коммуникация,высокая при count >= 2,EVIDENCE,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Повторяемость влияет только на detection reliability.
profile.py,hashtag_hit,Хэштег,кандидат_признак,языковые,интернет-коммуникация,высокая при count >= 2,EVIDENCE,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Повторяемость влияет только на detection reliability.
profile.py,caps_hit,Слово КАПСОМ,кандидат_признак,языковые,интернет-коммуникация,высокая при count >= 2,EVIDENCE,языковые,интернет-коммуникация,EXPERIMENTAL,,,automatic,Повторяемость влияет только на detection reliability.
profile.py,marked_lexeme,Маркированная лексика: <слой>,кандидат_признак,языковые,лексические,высокая для редких/некоторых слоёв,EVIDENCE,языковые,лексические,ENGINEERING,,,automatic,"Частотный ранг сохранён как справка, не экспертная оценка."
profile.py,ogorelkov.category,Употребление: <класс>,кандидат_признак,языковые,служебная лексика,средняя,AUX_METRIC,языковые,служебная лексика,ENGINEERING,,,automatic,IPM/ratio — инструментальные измерения.
profile.py,ogorelkov.lemma_deviation,Служебное слово <лемма>,кандидат_признак,языковые,служебная лексика,высокая,EVIDENCE,языковые,служебная лексика,ENGINEERING,,,automatic,"Threshold отсеивает шум, но не задаёт экспертную ценность."
profile.py,general_skill.орфографический,Степень развития: орфографический навык,общий_признак,языковые,орфографический,высокая,GENERAL_SKILL,языковые,орфографический,METHOD,,,automatic measurement / expert interpretation,Отдельный нейтральный контроль Вула/Минюста; не частный признак.
profile.py,general_skill.пунктуационный,Степень развития: пунктуационный навык,общий_признак,языковые,пунктуационный,высокая,GENERAL_SKILL,языковые,пунктуационный,METHOD,,,automatic measurement / expert interpretation,Отдельный нейтральный контроль Вула/Минюста; не частный признак.
profile.py,general_skill.грамматический,Степень развития: грамматический навык,общий_признак,языковые,грамматический,высокая,GENERAL_SKILL,языковые,грамматический,METHOD,,,automatic measurement / expert interpretation,Отдельный нейтральный контроль Вула/Минюста; не частный признак.
profile.py,general_skill.лексико-фразеологический,Степень развития: лексико-фразеологический навык,общий_признак,языковые,лексико-фразеологический,высокая,GENERAL_SKILL,языковые,лексико-фразеологический,METHOD,,,automatic measurement / expert interpretation,Отдельный нейтральный контроль Вула/Минюста; не частный признак.
profile.py,general_skill.overall,Общий уровень письменной речи,общий_признак,языковые,общий уровень,высокая,GENERAL_SKILL,языковые,общий уровень,METHOD,,,automatic measurement / expert interpretation,
profile.py,psycho.marked_token,Психолингвистический маркер: <слой>,кандидат_признак,психолингвистические,лексические индикаторы,средняя,EVIDENCE,психолингвистические,лексические индикаторы,ENGINEERING,,,automatic,Единичная лексема не интерпретируется автоматически как свойство автора.
avtoroved2.legacy_registry,nn.smysl.political,Политическая направленность текста,registry_feature,смысловые,,низкая,METHOD_FEATURE,смысловые,,METHOD,nn.smysl.political,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.smysl.extremist,Экстремистская направленность текста,registry_feature,смысловые,,низкая,METHOD_FEATURE,смысловые,,METHOD,nn.smysl.extremist,низкая,llm,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.smysl.military,Военная направленность текста,registry_feature,смысловые,,низкая,METHOD_FEATURE,смысловые,,METHOD,nn.smysl.military,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.smysl.everyday,Бытовая тематика текста,registry_feature,смысловые,,низкая,METHOD_FEATURE,смысловые,,METHOD,nn.smysl.everyday,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.text.laconic,Лаконичность изложения,registry_feature,текстологические,,низкая,METHOD_FEATURE,текстологические,,METHOD,nn.text.laconic,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.text.argued,Аргументированность изложения,registry_feature,текстологические,,низкая,METHOD_FEATURE,текстологические,,METHOD,nn.text.argued,низкая,llm,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.text.sequential,Последовательность изложения материала,registry_feature,текстологические,,низкая,METHOD_FEATURE,текстологические,,METHOD,nn.text.sequential,низкая,llm,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.text.verbose,Многословность изложения,registry_feature,текстологические,,низкая,METHOD_FEATURE,текстологические,,METHOD,nn.text.verbose,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.school_level,Владение русским языком на уровне средней школы,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.school_level,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.high_literacy,Высокий уровень грамотности и культуры речи автора,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.high_literacy,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.foreign_interference,"Особенности, характерные для другого языка (приставка «от» вместо «о», удвоение «сс»)",registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.foreign_interference,низкая,auto,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.dialect,"Диалектные особенности говора (суффикс «-ейше-», вопросительная частица «ты»)",registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.dialect,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.higher_humanities,Владение русским языком на уровне вуза гуманитарной направленности,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.higher_humanities,низкая,hybrid,"Источник registry_nn.yaml, с. 86; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.style_official_business,Преимущественное использование официально-делового стиля речи,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.style_official_business,низкая,auto,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.style_scientific,Преимущественное использование научного стиля речи,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.style_scientific,низкая,auto,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.style_publicistic,Преимущественное использование публицистического стиля речи,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.style_publicistic,низкая,auto,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.style_oratorical,Преимущественное использование ораторского стиля речи,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.style_oratorical,низкая,hybrid,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.lang.style_colloquial,Преимущественное использование разговорного стиля речи,registry_feature,language,,низкая,METHOD_FEATURE,language,,METHOD,nn.lang.style_colloquial,низкая,auto,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.psy.situational_thinking,Использование ситуативного типа мышления,registry_feature,психолингвистические,,низкая,METHOD_FEATURE,психолингвистические,,METHOD,nn.psy.situational_thinking,низкая,llm,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.psy.categorical_thinking,Использование категориального типа мышления,registry_feature,психолингвистические,,низкая,METHOD_FEATURE,психолингвистические,,METHOD,nn.psy.categorical_thinking,низкая,llm,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.psy.general_to_particular,Изложение материала от общего к частному,registry_feature,психолингвистические,,низкая,METHOD_FEATURE,психолингвистические,,METHOD,nn.psy.general_to_particular,низкая,llm,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.psy.particular_to_general,Изложение материала от частного к общему,registry_feature,психолингвистические,,низкая,METHOD_FEATURE,психолингвистические,,METHOD,nn.psy.particular_to_general,низкая,llm,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,nn.psy.emotionality,Эмоциональность речи в целом,registry_feature,психолингвистические,,низкая,METHOD_FEATURE,психолингвистические,,METHOD,nn.psy.emotionality,низкая,hybrid,"Источник registry_nn.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.on_behalf_org,Выступление от имени организации,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.on_behalf_org,средняя,llm,"Источник registry_ns.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.on_behalf_person,Выступление от имени конкретного лица,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.on_behalf_person,средняя,llm,"Источник registry_ns.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.gendered_spheres,Свободная ориентация в традиционно мужских/женских сферах деятельности,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.gendered_spheres,средняя,llm,"Источник registry_ns.yaml, с. 87; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.lexsem_paradigms,Использование различных лексико-семантических парадигм,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.lexsem_paradigms,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.softened_extremism,Смягчённый характер экстремистских высказываний,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.softened_extremism,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.demand_publish,Требование опубликовать письмо в средствах массовой информации,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.demand_publish,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.familiar_to_addressee,Грубовато-фамильярное отношение к адресату,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.familiar_to_addressee,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.harsh_actions,Чрезмерная жёсткость планируемых акций,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.harsh_actions,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.value_orientations,Наличие в тексте различных ценностных ориентаций,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.value_orientations,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.conspiracy,Увлечение элементами конспирации,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.conspiracy,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.negative_past,Проявление негативного отношения к прошлому,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.negative_past,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.living_relatives,Упоминание о здравствующих родственниках,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.living_relatives,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.faith_in_punishment,Вера в справедливое наказание со стороны репрессивных органов,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.faith_in_punishment,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.respectful_addressee,Уважительное обращение к адресату послания,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.respectful_addressee,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.instructive_appeal,Наставительность и апелляция к жизненному опыту,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.instructive_appeal,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.afterlife_death,"Размышления о существовании загробной жизни, о смерти",registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.afterlife_death,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.negative_nationality,Негативная оценка деятельности лиц определённой национальности,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.negative_nationality,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.defend_peoples,Защита интересов определённых народностей,registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.defend_peoples,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.production_mentions,"Упоминание производственных процессов, должностных работников организаций",registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.production_mentions,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.events_at_work,"Ссылка на события, произошедшие на производстве, в фирме",registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.events_at_work,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.smysl.delusional_ideas,"Наличие суждений, отражающих бредовые идеи автора",registry_feature,смысловые,,средняя,METHOD_FEATURE,смысловые,,METHOD,ns.smysl.delusional_ideas,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.ssc_thematic_coherent,Построение сложного синтаксического целого с учётом тематичности и связности,registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.ssc_thematic_coherent,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.coherent_no_digressions,"Связность мысли, отсутствие побочных ассоциаций",registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.coherent_no_digressions,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.chaotic,"Непоследовательность, хаотичность в изложении мыслей",registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.chaotic,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.clear_logic,Наличие чёткой логической структуры текста,registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.clear_logic,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.unsupported_claims,"Наличие бездоказательных утверждений, основанных на эмоциях",registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.unsupported_claims,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.digressions,"Наличие отступлений от линии повествования, множество побочных ассоциаций",registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.digressions,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.excessive_detail,Чрезмерная обстоятельность суждений,registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.excessive_detail,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.no_logical_relations,Неразличение логических отношений между словами,registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.no_logical_relations,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.text.stereotyped,Стереотипно повторяющиеся суждения,registry_feature,текстологические,,средняя,METHOD_FEATURE,текстологические,,METHOD,ns.text.stereotyped,средняя,llm,"Источник registry_ns.yaml, с. 88; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.lex.temporal,"Частое использование лексики с временным значением («до настоящего времени», «иногда»)",registry_feature,lexical,,средняя,METHOD_FEATURE,lexical,,METHOD,ns.lex.temporal,средняя,auto,"Источник registry_ns.yaml, с. 89; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.lex.demonstrative,"Частое использование лексики с указательным значением («этот», «там»)",registry_feature,lexical,,средняя,METHOD_FEATURE,lexical,,METHOD,ns.lex.demonstrative,средняя,auto,"Источник registry_ns.yaml, с. 89; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
avtoroved2.legacy_registry,ns.lex.truth_falsity,"Оценочная лексика «истинность/мнимость» («правильно», «точно», «ложно»)",registry_feature,lexical,,средняя,METHOD_FEATURE,lexical,,METHOD,ns.lex.truth_falsity,средняя,auto,"Источник registry_ns.yaml, с. 89; используется контуром avtoroved2, но не активным avtoroved-main/protocol/profile.py."
